employee_id,salary,comp_band_min,comp_band_mid,comp_band_max,effective_date,change_reason
EMP-001,495500,382500,446000,510000,2020-01-15,New Hire
EMP-001,517500,396000,462000,528000,2021-01-15,Annual Review
EMP-001,541500,414000,483000,552000,2022-01-15,Annual Review
EMP-001,567500,427500,499000,570000,2023-01-15,Annual Review
EMP-001,570000,427500,499000,570000,2023-09-01,Market Adjustment
EMP-001,588000,441000,514500,588000,2024-01-15,Annual Review
EMP-001,600000,450000,525000,600000,2025-01-15,Annual Review
EMP-002,449000,326500,387500,449000,2020-01-15,New Hire
EMP-002,464500,338000,401500,464500,2021-01-15,Annual Review
EMP-002,486000,353500,419500,486000,2022-01-15,Annual Review
EMP-002,501500,365000,433000,501500,2023-01-15,Annual Review
EMP-002,517500,376500,447000,517500,2024-01-15,Annual Review
EMP-002,528000,384000,456000,528000,2025-01-15,Annual Review
EMP-0020,151000,119000,136000,151500,2020-03-28,New Hire
EMP-0020,156500,123000,141000,156500,2021-01-15,Annual Review
EMP-0020,174000,164000,184000,204000,2022-09-28,Promotion
EMP-0020,182000,169000,190000,211000,2023-01-15,Annual Review
EMP-0020,192000,169000,190000,211000,2023-09-01,Market Adjustment
EMP-0020,200000,174500,196000,217500,2024-01-15,Annual Review
EMP-0020,210000,178000,200000,222000,2025-01-15,Annual Review
EMP-0021,148000,112000,130000,148000,2020-01-16,New Hire
EMP-0021,167500,153000,174000,195500,2021-10-10,Promotion
EMP-0021,175500,160000,182000,204000,2022-01-15,Annual Review
EMP-0021,211000,211000,231000,251000,2023-07-06,Promotion
EMP-0021,226000,211000,231000,251000,2023-09-01,Market Adjustment
EMP-0021,236000,217500,238000,258500,2024-01-15,Annual Review
EMP-0021,246500,222000,243000,264000,2025-01-15,Annual Review
EMP-0022,125000,99500,113000,126500,2020-01-24,New Hire
EMP-0022,131000,103000,117000,131000,2021-01-15,Annual Review
EMP-0022,146000,137000,152000,166500,2022-08-27,Promotion
EMP-0022,153000,141500,157000,172000,2023-01-15,Annual Review
EMP-0022,161500,141500,157000,172000,2023-09-01,Market Adjustment
EMP-0022,168500,146000,161500,177500,2024-01-15,Annual Review
EMP-0022,176500,149000,165000,181000,2025-01-15,Annual Review
EMP-0023,168500,132500,150500,168500,2020-01-16,New Hire
EMP-0023,174000,137500,156000,174000,2021-01-15,Annual Review
EMP-0023,198500,182000,201500,221000,2022-08-23,Promotion
EMP-0023,207000,188000,208000,228000,2023-01-15,Annual Review
EMP-0023,222000,188000,208000,228000,2023-09-01,Market Adjustment
EMP-0023,231000,194000,214500,235000,2024-01-15,Annual Review
EMP-0023,240000,198000,219000,240000,2025-01-15,Annual Review
EMP-0024,133500,103000,119000,135500,2020-02-10,New Hire
EMP-0024,151500,140500,159500,179000,2021-10-27,Promotion
EMP-0024,159000,146500,167000,187000,2022-01-15,Annual Review
EMP-0024,193500,193500,218500,243500,2023-07-14,Promotion
EMP-0024,206000,193500,218500,243500,2023-09-01,Market Adjustment
EMP-0024,215000,199500,225500,251500,2024-01-15,Annual Review
EMP-0024,224000,203500,230000,256500,2025-01-15,Annual Review
EMP-0025,126500,99500,113000,126500,2020-01-16,New Hire
EMP-0025,131000,103000,117000,131000,2021-01-15,Annual Review
EMP-0025,137000,107500,122500,137000,2022-01-15,Annual Review
EMP-0025,144000,114000,129000,144500,2023-01-15,Annual Review
EMP-0025,144500,114000,129000,144500,2023-09-01,Market Adjustment
EMP-0025,149000,117500,133500,149000,2024-01-15,Annual Review
EMP-0025,152000,120000,136000,152000,2025-01-15,Annual Review
EMP-0026,140000,110500,125500,140000,2020-01-16,New Hire
EMP-0026,145000,114500,130000,145000,2021-01-15,Annual Review
EMP-0026,163500,152000,168000,184000,2022-08-23,Promotion
EMP-0026,170500,157000,173500,190000,2023-01-15,Annual Review
EMP-0026,182000,157000,173500,190000,2023-09-01,Market Adjustment
EMP-0026,190000,161500,179000,196000,2024-01-15,Annual Review
EMP-0026,198500,165000,182500,200000,2025-01-15,Annual Review
EMP-0027,145500,112000,130000,148000,2020-03-13,New Hire
EMP-0027,165000,153000,174000,195500,2021-11-17,Promotion
EMP-0027,171500,160000,182000,204000,2022-01-15,Annual Review
EMP-0027,211000,211000,231000,251000,2023-07-25,Promotion
EMP-0027,223500,211000,231000,251000,2023-09-01,Market Adjustment
EMP-0027,233000,217500,238000,258500,2024-01-15,Annual Review
EMP-0027,244500,222000,243000,264000,2025-01-15,Annual Review
EMP-0028,165500,132500,150500,168500,2020-01-16,New Hire
EMP-0028,172500,137500,156000,174000,2021-01-15,Annual Review
EMP-0028,194500,182000,201500,221000,2022-08-23,Promotion
EMP-0028,202500,188000,208000,228000,2023-01-15,Annual Review
EMP-0028,213000,188000,208000,228000,2023-09-01,Market Adjustment
EMP-0028,223000,194000,214500,235000,2024-01-15,Annual Review
EMP-0028,233500,198000,219000,240000,2025-01-15,Annual Review
EMP-0029,174000,137500,156000,174000,2021-02-14,New Hire
EMP-0029,181500,143500,163000,182000,2022-01-15,Annual Review
EMP-0029,188000,148000,168000,188000,2023-01-15,Annual Review
EMP-0029,194000,153000,173500,194000,2024-01-15,Annual Review
EMP-0029,198000,156000,177000,198000,2025-01-15,Annual Review
EMP-003,396000,294500,349500,405000,2022-02-01,New Hire
EMP-003,413000,304000,361000,418000,2023-01-15,Annual Review
EMP-003,418000,304000,361000,418000,2023-09-01,Market Adjustment
EMP-003,431000,313500,372500,431000,2024-01-15,Annual Review
EMP-003,440000,320000,380000,440000,2025-01-15,Annual Review
