employee_id,review_cycle,overall_rating,manager_rating,self_rating,review_completed_date,review_status
EMP-001,2020-H2,Significantly Exceeds,Significantly Exceeds,Significantly Exceeds,2021-01-11,Exempt
EMP-001,2021-H1,Exceeds,Exceeds,Exceeds,2021-07-11,Exempt
EMP-001,2021-H2,Exceeds,Exceeds,Significantly Exceeds,2022-01-10,Exempt
EMP-001,2022-H1,Exceeds,Meets,Exceeds,2022-07-16,Exempt
EMP-001,2022-H2,Significantly Exceeds,Significantly Exceeds,Significantly Exceeds,2023-01-17,Exempt
EMP-001,2023-H1,Exceeds,Significantly Exceeds,Significantly Exceeds,2023-07-12,Exempt
EMP-001,2023-H2,Exceeds,Exceeds,Significantly Exceeds,2024-01-12,Exempt
EMP-001,2024-H1,Exceeds,Exceeds,Exceeds,2024-07-18,Exempt
EMP-001,2024-H2,Exceeds,Exceeds,Exceeds,2025-01-11,Exempt
EMP-002,2020-H2,Exceeds,Exceeds,Exceeds,2021-01-17,Exempt
EMP-002,2021-H1,Exceeds,Exceeds,Exceeds,2021-07-13,Exempt
EMP-002,2021-H2,Meets,Meets,Meets,2022-01-17,Exempt
EMP-002,2022-H1,Exceeds,Exceeds,Exceeds,2022-07-19,Exempt
EMP-002,2022-H2,Significantly Exceeds,Significantly Exceeds,Significantly Exceeds,2023-01-15,Exempt
EMP-002,2023-H1,Significantly Exceeds,Exceeds,Significantly Exceeds,2023-07-17,Exempt
EMP-002,2023-H2,Exceeds,Exceeds,Significantly Exceeds,2024-01-18,Exempt
EMP-002,2024-H1,Exceeds,Meets,Exceeds,2024-07-10,Exempt
EMP-002,2024-H2,Exceeds,Exceeds,Exceeds,2025-01-18,Exempt
EMP-0020,2020-H2,Significantly Exceeds,Significantly Exceeds,Significantly Exceeds,2021-01-10,Completed
EMP-0020,2021-H1,Exceeds,Exceeds,Exceeds,2021-07-16,Completed
EMP-0020,2021-H2,Significantly Exceeds,Significantly Exceeds,Significantly Exceeds,2022-01-18,Completed
EMP-0020,2022-H1,Exceeds,Exceeds,Significantly Exceeds,2022-07-16,Completed
EMP-0020,2022-H2,Exceeds,Exceeds,Exceeds,2023-01-19,Completed
EMP-0020,2023-H1,Exceeds,Exceeds,Exceeds,2023-07-18,Incomplete
EMP-0020,2023-H2,Exceeds,Significantly Exceeds,Exceeds,2024-01-12,Completed
EMP-0020,2024-H1,Exceeds,Exceeds,Exceeds,2024-07-20,Completed
EMP-0020,2024-H2,Significantly Exceeds,Significantly Exceeds,Significantly Exceeds,2025-01-15,Completed
EMP-0021,2020-H2,Exceeds,Exceeds,Significantly Exceeds,2021-01-12,Completed
EMP-0021,2021-H1,Exceeds,Exceeds,Exceeds,2021-07-18,Completed
EMP-0021,2021-H2,Exceeds,Exceeds,Exceeds,2022-01-20,Completed
EMP-0021,2022-H1,Meets,Meets,Meets,2022-07-11,Completed
EMP-0021,2022-H2,Significantly Exceeds,Significantly Exceeds,Significantly Exceeds,2023-01-13,Completed
EMP-0021,2023-H1,Exceeds,Meets,Exceeds,2023-07-17,Completed
EMP-0021,2023-H2,Exceeds,Exceeds,Exceeds,2024-01-15,Completed
EMP-0021,2024-H1,Exceeds,Exceeds,Significantly Exceeds,2024-07-15,Incomplete
EMP-0021,2024-H2,Significantly Exceeds,Significantly Exceeds,Significantly Exceeds,2025-01-15,Completed
EMP-0022,2020-H2,Exceeds,Exceeds,Exceeds,2021-01-12,Completed
EMP-0022,2021-H1,Significantly Exceeds,Significantly Exceeds,Significantly Exceeds,2021-07-17,Completed
EMP-0022,2021-H2,Exceeds,Exceeds,Significantly Exceeds,2022-01-12,Completed
EMP-0022,2022-H1,Significantly Exceeds,Significantly Exceeds,Significantly Exceeds,2022-07-14,Completed
EMP-0022,2022-H2,Exceeds,Exceeds,Exceeds,2023-01-17,Completed
EMP-0022,2023-H1,Significantly Exceeds,Significantly Exceeds,Significantly Exceeds,2023-07-18,Completed
EMP-0022,2023-H2,Exceeds,Exceeds,Significantly Exceeds,2024-01-16,Completed
EMP-0022,2024-H1,Significantly Exceeds,Significantly Exceeds,Significantly Exceeds,2024-07-16,Completed
EMP-0022,2024-H2,Meets,Meets,Meets,2025-01-17,Completed
EMP-0023,2020-H2,Significantly Exceeds,Significantly Exceeds,Significantly Exceeds,2021-01-19,Completed
