survey_cycle,department,sub_department,question_id,question_text,theme,avg_score,response_count,favorable_pct,enps_score
2021-Q2,Customer Success,,CGD1,I have access to the learning and development opportunities I need to grow in my career.,Career Growth & Development,3.4,9,0.57,34.5
2021-Q2,Customer Success,,CGD2,I can see a clear path for my career progression at this company.,Career Growth & Development,3.4,9,0.53,34.5
2021-Q2,Customer Success,,CGD3,The work I do is meaningful and contributes to my professional growth.,Career Growth & Development,3.4,9,0.56,34.5
2021-Q2,Customer Success,,COM1,I receive clear and timely communication about company strategy and direction.,Communication,3.3,9,0.47,34.5
2021-Q2,Customer Success,,COM2,I understand how my work contributes to the company's goals.,Communication,3.3,9,0.46,34.5
2021-Q2,Customer Success,,COM3,Cross-team communication and collaboration is effective.,Communication,3.3,9,0.44,34.5
2021-Q2,Customer Success,,CUL1,I feel a strong sense of belonging at this company.,Company Culture,4.1,9,0.85,34.5
2021-Q2,Customer Success,,CUL2,The company's values are reflected in how we operate day-to-day.,Company Culture,4.1,9,0.85,34.5
2021-Q2,Customer Success,,CUL3,I trust the leadership team to make good decisions for the company.,Company Culture,4.1,9,0.84,34.5
2021-Q2,Customer Success,,ENG1,I would recommend this company as a great place to work.,Employee Engagement,3.7,9,0.66,34.5
2021-Q2,Customer Success,,ENG2,I see myself still working here in two years.,Employee Engagement,3.7,9,0.68,34.5
2021-Q2,Customer Success,,ENG3,I am proud to tell others I work at this company.,Employee Engagement,3.7,9,0.68,34.5
2021-Q2,Customer Success,,ENG4,I feel motivated to go above and beyond what is expected of me.,Employee Engagement,3.7,9,0.68,34.5
2021-Q2,Customer Success,,MGE1,My manager gives me regular and meaningful feedback on my work.,Manager Effectiveness,4.1,9,0.86,34.5
2021-Q2,Customer Success,,MGE2,My manager supports my professional development and career growth.,Manager Effectiveness,4.1,9,0.84,34.5
2021-Q2,Customer Success,,MGE3,My manager keeps me informed about how my work connects to the broader picture.,Manager Effectiveness,4.1,9,0.82,34.5
2021-Q2,Customer Success,,MGE4,My manager creates an environment where I feel comfortable raising concerns.,Manager Effectiveness,4.1,9,0.83,34.5
